name,rank,points,competition,event,result
SEBRLE,1,8217,Decastar,x100m,11.04
SEBRLE,1,8217,Decastar,long_jump,7.58
SEBRLE,1,8217,Decastar,shot_put,14.83
SEBRLE,1,8217,Decastar,high_jump,2.07
SEBRLE,1,8217,Decastar,x400m,49.81
SEBRLE,1,8217,Decastar,x110m_hurdle,14.69
SEBRLE,1,8217,Decastar,discus,43.75
SEBRLE,1,8217,Decastar,pole_vault,5.02
SEBRLE,1,8217,Decastar,javeline,63.19
SEBRLE,1,8217,Decastar,x1500m,291.7
CLAY,2,8122,Decastar,x100m,10.76
CLAY,2,8122,Decastar,long_jump,7.4
CLAY,2,8122,Decastar,shot_put,14.26
CLAY,2,8122,Decastar,high_jump,1.86
CLAY,2,8122,Decastar,x400m,49.37
CLAY,2,8122,Decastar,x110m_hurdle,14.05
CLAY,2,8122,Decastar,discus,50.72
CLAY,2,8122,Decastar,pole_vault,4.92
CLAY,2,8122,Decastar,javeline,60.15
CLAY,2,8122,Decastar,x1500m,301.5
KARPOV,3,8099,Decastar,x100m,11.02
KARPOV,3,8099,Decastar,long_jump,7.3
KARPOV,3,8099,Decastar,shot_put,14.77
KARPOV,3,8099,Decastar,high_jump,2.04
KARPOV,3,8099,Decastar,x400m,48.37
KARPOV,3,8099,Decastar,x110m_hurdle,14.09
KARPOV,3,8099,Decastar,discus,48.95
KARPOV,3,8099,Decastar,pole_vault,4.92
KARPOV,3,8099,Decastar,javeline,50.31
KARPOV,3,8099,Decastar,x1500m,300.2
BERNARD,4,8067,Decastar,x100m,11.02
BERNARD,4,8067,Decastar,long_jump,7.23
BERNARD,4,8067,Decastar,shot_put,14.25
BERNARD,4,8067,Decastar,high_jump,1.92
BERNARD,4,8067,Decastar,x400m,48.93
BERNARD,4,8067,Decastar,x110m_hurdle,14.99
BERNARD,4,8067,Decastar,discus,40.87
BERNARD,4,8067,Decastar,pole_vault,5.32
BERNARD,4,8067,Decastar,javeline,62.77
BERNARD,4,8067,Decastar,x1500m,280.1
YURKOV,5,8036,Decastar,x100m,11.34
YURKOV,5,8036,Decastar,long_jump,7.09
YURKOV,5,8036,Decastar,shot_put,15.19
YURKOV,5,8036,Decastar,high_jump,2.1
YURKOV,5,8036,Decastar,x400m,50.42
YURKOV,5,8036,Decastar,x110m_hurdle,15.31
YURKOV,5,8036,Decastar,discus,46.26
